"SKU","ProductName","WarehouseName","Loc1","Loc2","Loc3","Loc4","OnHand","ReorderThreshold"
"558-Coral-5x8","Mats Flatweave Indoor Outdoor Rugs with Contemporary Breeze Design Area Rugs Patio Rug Flooring Carpets 5x8 (4'11''x7'10'', Coral)","","","","","","0","0"
"KML-950-BLU-GRA-57","Area Rugs Carpet By MSRUGS Made From Turkey KLM 950[Blue Gray,5' x 7']","","","","","","0","0"
"6100-GRY-BLC-3X8v1","Alida Lopped Gray/Black Area Rug 3' x 8'","","","","","","0","0"
"6100-GRY-BLC-5X7v1","Alida Lopped Gray/Black Area Rug 5' x 7'","","","","","","0","0"
"7502-BRN-4*5","7502  Area Rugs /Living room runner 2X3 3X8 4X5 5x7 8X10 Size By MSRUGS - Made F[4' x 5',Brown]","","","","","","0","0"
"3D999-BRN-BEG-57","Fluffy Fuzzy Modern 3D Shaggy Shag  Living Room 5x7 Area Rug [Brown Beige]","","","","","","0","0"
"FW801-DrBrn-4x6","Indoor / Outdoor Rugs Flatweave Contemporary Patio,Pool,Camp and Picnic Carpets[Brown,4' x 6']","","","","","","0","0"
"TWL-WHT-B2","Bath Towels set 2 Bath or 2 Hand Towels Gym Spa 100% Cotton[28*56 Inch,White]","Inventory Warehouse","A","No","No","No","1000","0"
"TWL-WHT-H2","Bath Towels set 2 Bath or 2 Hand Towels Gym Spa 100% Cotton[20*35 inch,White]","Inventory Warehouse","A","No","No","No","1000","0"
"0307-BRN-5x7v1","Meredosia Oriental Brown/Beige Area Rug","","","","","","0","0"
"7004-BLC-GRY-5X7","7004 Area rug Living room 5x7 kitchen[Black,5' x 7']","","","","","","0","0"
"0446-BLC-3x5v1","Coleen Abstract Black/Beige Area Rug","","","","","","0","0"
"6100-MULTI-5x7v1","Alida Lopped Black/Beige, Multicolors Area Rug 5' x 7'","","","","","","0","0"
"6100-RED-BLC-3X8","Rug Carpet Pad Protects Floor From Dust & Dirt Particle - Multi Size and Color[Black Red,3'X8']","","","","","","0","0"
"6100-GRY-YLW-5X7","Rug Carpet Pad Protects Floor From Dust & Dirt Particle - Multi Size and Color[Black Yellow,5' x 7']","","","","","","0","0"
"FW511-GOLD-4x6","Indoor / Outdoor Rugs Flatweave Contemporary Patio,Pool,Camp and Picnic Carpets[Gold,4' x 6']","","","","","","0","0"
"7500-GRY-R2","Area Rugs Living room Kitchen runner door mat 3x8[Gray]","","","","","","0","0"
"KLM-750-BLU-RED-23","Area Rugs Carpet By MSRUGS Made From Turkey[Blue Red,2' x 3']","","","","","","0","0"
"3D555-GRY-BLU-57","Fluffy Fuzzy Modern 3D Shaggy Shag  Living Room 5x7 Area Rug [Gray Blue,3D555 Gray Blue]","","","","","","0","0"
"MNC-100-BEI-BRW-35","Blue, Gray, Brown or Red Area Rugs Carpet by MSRUGS Made in Turkey[Brown,3' x 5']","Inventory Warehouse","A","No","No","No","10","0"
"FW444-GOLD-9X12v1","Home Gold/Beige Indoor/Outdoor Rugs Flatweave Contemporary Patio,Pool,Camp and Picnic Carpets","","","","","","0","0"
"0307-RED-8x10v1","Meredosia Red/Brown Area Rug","","","","","","0","0"
"7500-GRY-BLU-5x7","Msrugs Frize Collection Contemporary Area Rugs for Living Room 5x7 and 8x10 (5'x7', Gray-Blue-7500)","","","","","","0","0"
"2pc-Hand-Green","Msrugs 100% Cotton Luxury Hand Towels (2, Green)","","","","","","0","0"
"TWL-GRAY-B2","Bath Towels set 2 Bath or 2 Hand Towels Gym Spa 100% Cotton[28*56 Inch,Gray]","Inventory Warehouse","A","No","No","No","200","0"
"6100-MULTI-2X3","Rug Carpet Pad Protects Floor From Dust & Dirt Particle - Multi Size and Color[Multi,2' x 3']","","","","","","0","0"
"MNC-400-BEI-RED-57","Blue, Gray, Brown or Red Area Rugs Carpet by MSRUGS Made in Turkey[Red,5' x 7']","Inventory Warehouse","A","No","No","No","44","0"
"7513-BLUE-8x10","Msrugs Frize Collection Contemporary Area Rugs for Living Room 5x7 and 8x10 (8'x10', Blue-7513)","","","","","","0","0"
